sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,Grade_Momentum
M,15,U,GT3,T,2,2,services,services,1,4,0,no,yes,no,yes,yes,yes,5,5,4,5,6,14,13,-1
F,17,U,LE3,T,2,2,services,other,2,2,0,yes,yes,no,no,yes,yes,4,4,4,5,6,12,12,0
F,15,R,LE3,T,2,2,health,services,2,2,0,yes,yes,no,no,yes,yes,4,1,3,4,0,11,10,-1
F,15,U,GT3,T,4,4,services,services,2,2,0,no,no,no,no,yes,yes,4,4,4,5,4,12,11,-1
F,15,U,GT3,T,2,1,services,other,3,3,0,no,yes,no,yes,yes,yes,5,2,2,4,0,10,12,2
M,17,U,GT3,T,1,2,other,other,1,1,1,no,yes,no,yes,no,yes,5,3,5,1,12,6,7,1
F,17,U,GT3,T,4,4,teacher,teacher,2,3,0,no,yes,no,no,yes,yes,4,3,3,4,4,15,14,-1
F,17,U,GT3,A,2,1,other,other,2,3,0,no,no,no,yes,yes,yes,3,2,3,3,0,15,15,0
F,18,U,GT3,T,3,3,other,other,2,1,1,no,no,no,no,no,yes,4,1,1,3,14,8,7,-1
F,17,U,GT3,T,2,3,other,other,2,2,0,no,no,no,yes,yes,yes,4,2,1,3,2,11,12,1
M,17,U,GT3,T,3,2,services,services,1,1,3,no,yes,yes,yes,yes,yes,5,5,5,5,2,8,8,0
F,15,R,GT3,T,1,1,other,other,3,1,1,no,no,no,yes,yes,yes,5,5,5,1,2,8,9,1
M,16,R,GT3,T,3,2,services,other,2,1,0,no,no,no,no,yes,yes,4,5,5,5,2,11,9,-2
F,17,U,GT3,T,2,4,at_home,health,2,2,0,no,yes,no,no,yes,yes,4,3,3,1,6,15,16,1
F,19,U,LE3,T,2,2,other,other,1,3,0,no,no,no,no,yes,yes,5,4,5,1,0,12,13,1
M,17,U,LE3,T,4,4,other,teacher,2,1,0,no,no,no,no,yes,yes,4,1,1,5,0,12,13,1
M,18,U,LE3,T,1,1,at_home,at_home,2,2,0,no,yes,no,yes,yes,no,4,3,3,5,6,10,9,-1
F,18,R,GT3,A,3,2,other,services,2,2,0,no,no,no,no,no,yes,4,1,1,5,15,12,9,-3
F,18,U,GT3,T,2,1,services,other,2,2,0,no,yes,no,yes,yes,yes,5,3,3,1,2,12,12,0
F,15,U,GT3,T,2,1,at_home,other,1,2,0,yes,yes,no,no,yes,yes,4,4,2,2,0,9,10,1
F,15,U,GT3,T,1,1,at_home,other,3,1,0,no,yes,no,yes,yes,yes,4,3,3,4,6,11,12,1
M,16,U,LE3,A,2,2,other,services,2,2,0,no,yes,no,no,yes,yes,4,1,2,5,0,12,13,1
F,18,U,LE3,A,1,1,at_home,services,1,2,0,no,no,no,no,yes,no,5,2,3,3,2,8,10,2
F,18,U,GT3,T,2,2,at_home,at_home,1,3,0,no,yes,no,no,yes,yes,4,3,3,2,0,18,18,0
M,18,R,LE3,T,3,2,services,other,3,1,0,no,no,no,no,yes,yes,4,4,1,5,4,10,11,1
M,15,U,GT3,T,2,3,other,other,1,3,0,yes,no,no,no,yes,yes,5,3,2,5,2,10,9,-1
F,19,R,GT3,A,1,1,at_home,at_home,2,2,3,no,yes,no,yes,no,no,3,5,4,1,0,8,0,-8
F,16,R,LE3,T,1,2,other,other,2,1,0,no,no,no,yes,yes,yes,5,4,5,2,0,14,14,0
F,15,U,GT3,T,1,2,at_home,services,1,2,0,no,no,no,no,yes,no,2,3,4,1,6,11,11,0
M,15,U,GT3,T,4,2,other,other,1,4,0,no,no,no,no,yes,yes,3,3,3,3,0,11,9,-2
F,17,U,GT3,T,2,1,services,other,2,2,0,no,yes,no,yes,yes,yes,4,3,4,1,10,12,15,3
F,17,U,GT3,A,4,3,services,services,1,2,0,no,yes,no,no,yes,yes,5,2,2,5,14,15,14,-1
F,16,U,LE3,T,3,1,other,other,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,0,12,13,1
M,17,U,GT3,T,4,4,services,teacher,1,1,0,no,no,no,no,yes,yes,5,2,3,5,4,13,13,0
M,15,R,GT3,T,1,1,other,other,4,2,0,no,yes,no,yes,yes,no,5,4,5,4,8,7,9,2
F,19,U,LE3,A,2,3,at_home,other,2,1,1,no,no,no,no,no,yes,2,2,3,5,16,10,11,1
F,15,U,GT3,T,1,1,other,services,1,2,0,no,yes,no,no,yes,yes,4,4,2,5,0,12,12,0
F,16,R,GT3,T,4,4,teacher,teacher,2,3,0,no,no,no,yes,yes,yes,4,2,2,4,6,16,16,0
M,15,U,GT3,T,2,3,other,services,1,1,0,yes,yes,no,yes,yes,yes,3,2,2,3,0,11,11,0
F,15,R,GT3,T,1,1,other,other,1,2,0,yes,yes,no,no,yes,yes,3,3,4,5,2,13,11,-2
M,17,U,LE3,T,1,1,health,other,2,1,1,no,yes,no,yes,yes,yes,4,4,4,5,0,9,10,1
